Address,,Holders,Balance,Eth,EntriesRaw,Entries
0x3df710c1c50dba107ea04318dabc52181f342406,,0x888d6d4fc878f4a13f0f3cb9fffdeaa195ec4ba6,3.00E+17,0.3,3,3
0x3df710c1c50dba107ea04318dabc52181f342406,,0x8f8c65799e7f007573f6f9b7d60e3b77ed7d44f8,1.01E+17,0.10095102,1.01,1
0x3df710c1c50dba107ea04318dabc52181f342406,,0x93e4ecdeff595b10d98afe9a49e99e0ec846c544,1.00E+17,0.1,1,1
0x3df710c1c50dba107ea04318dabc52181f342406,,0x9ba52eb4e849f39b22628f29956e8b5fd970bbc1,1.00E+18,1.0001,10,10
0x3df710c1c50dba107ea04318dabc52181f342406,,0xa18cb6eeba2e4c0e083073f9e7a38341387a9d91,2.24E+17,0.224035956,2.24,2
0x3e34d84a4cb458e2d8f88ab1038a8d2f04473260,,0xa5cca532a7e9199cf3f3bc30d5d2620a295f5413,1.02E+17,0.101874955,1.02,1
0x3e5e7b957efca8fd26b5b510c5c716ab514f8c41,,0xa9f0e54466d4ac72b6b64bb09b2136c17fa0290e,3.00E+17,0.3,3,3
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xaa7158712ea933e6fc03b1a5076d2fda28ee45d0,1.00E+17,0.1,1,1
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xb0b57f9dd0dbf69e9eb6b0ba64d5710e8d50c761,2.10E+17,0.21,2.1,2
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xb18ede160ff7c0fc252b35a9c833b538a730d425,1.03E+17,0.103,1.03,1
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xb94be5cdf97401560507792e92c3a29102e5457f,7.00E+18,7,70,70
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xb95f557b313cd58073914ca0fb8d18eea8b73f40,1.30E+17,0.13,1.3,1
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xbd20906ada36d6fe588855e98e596275bc270ed4,2.00E+17,0.2,2,2
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xc1ec830cb41aa5b57fe439e8beace82ea13a6fde,3.00E+17,0.3,3,3
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xc26d21d19320cb7da3d79ab9f57e24865836088d,1.00E+17,0.1,1,1
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xc32290f2e0a8405a2bd8db8863237de2f534f1c0,5.00E+17,0.5,5,5
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xc4b668ba0348975a19b2588e2f37d39f430379c4,8.50E+17,0.85,8.5,8
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xc66050bcdc1a77ecc9347b04b4b4694d16108991,1.07E+18,1.07,10.7,10
0x3fc69c9773a7beaca1d1adc08ada6c5d2c9103b9,,0xc716b29de71da04ef492cdf79d12ed251def7914,5.00E+17,0.5,5,5
0x417f20de717caf7495d560bc6d4c4db59bcc9a0b,,0xcc4fe0bc29ca11185712fe3c28a937d5ca0362eb,1.51E+17,0.151302674,1.51,1
0x4930928f2ac56bd1b14a971efe366409e03a4cfa,,0xce3890e8f5b0e4e7ebef4b7f4d9f12b110087232,6.95E+17,0.695022419,6.95,6
0x4930928f2ac56bd1b14a971efe366409e03a4cfa,,0xcf7c95c6b733cdc04cb1d2793abc0d02d3a8f977,1.10E+18,1.1,11,11
0x4930928f2ac56bd1b14a971efe366409e03a4cfa,,0xd02e4f8134a78aa992b8c53503daf2844abd555f,1.00E+17,0.1,1,1
0x4ac9fdec56a4fdf573270f28787284bbf4c188e9,,0xd08ea1b495d31706072d682d50902b8a15e94a79,1.00E+17,0.1,1,1
0x4ac9fdec56a4fdf573270f28787284bbf4c188e9,,0xd366c637320837850a831424b706e5ac665b737e,1.00E+18,1,10,10
0x4f3dd44edf8479aeca393af2879ddbfdf37c8325,,0xd8a113b637c5482df1379e43cb9d2062b3a68ac0,3.00E+17,0.3,3,3
0x53d7ea121778660da8cf24d1d5c65235e1af26b0,,0xdafcf4b79fdee387559cd675c8bb5a6f6562303b,1.00E+17,0.1,1,1
0x55eb632984fa33bf711d791718134b14398e8f3c,,0xdb9175f3a76eea493b52b69b67155df715c8b605,2.00E+18,2,20,20
0x55eb632984fa33bf711d791718134b14398e8f3c,,0xe90cbd6190fb610d90bbfd53c7834aecff2c690e,1.02E+17,0.101702585,1.02,1
0x5b00e1030ec0fdf43d092001c01cde9eee70e985,,0xf851ff5037212c716e91cd474252b86faca7bb11,1.00E+18,1,10,10
0x5ba3bbf43528184ed895f111b0508904e3ee6f66,,,,,,
0x5e145fc2d42d7333bbdbf10b0a0d2247c31aee35,,,,,,
0x60ae1d8cb71ff761e17f7be70faf1a67e5c0f279,,,,,,
0x613f1486db0d8016ffb95f86489dd5ff5716c7f3,,,,,,
0x644271b9e727bcbda5d005690c098ae39add9d40,,,,,,
0x6d3c9e01a2a82ed7e056703ad3326a3bb86a9f4f,,,,,,
0x6f8d12b7aa4ac8c86a8c876a86cbb36dbe591322,,,,,,
0x72aa4850d323d365295cff7c98cc2df013149262,,,,,,
0x72aa4850d323d365295cff7c98cc2df013149262,,,,,,
0x72aa4850d323d365295cff7c98cc2df013149262,,,,,,
